CountyId,Cases,ConfirmedCases,ProbableCases,isDeleted
1001,6920,5846,1074,
1003,21131,14852,6279,
1005,2308,1285,1023,
1007,2607,2095,512,
1009,6660,5137,1523,
1011,1230,1085,145,
1013,2159,1947,212,
1015,14501,10824,3677,
1017,3563,1770,1793,
1019,1848,1178,670,
1021,4290,3472,818,
1023,606,506,100,
1025,3510,2510,1000,
1027,1562,1226,336,
1029,1489,1311,178,
1031,5511,3605,1906,
1033,6298,4494,1804,
1035,1105,834,271,
1037,1072,614,458,
1039,4121,2008,2113,
1041,1522,1123,399,
1043,9664,6526,3138,
1045,4831,3202,1629,
1047,3551,2682,869,
1049,8830,7563,1267,
1051,10061,7404,2657,
1053,3933,2314,1619,
1055,13831,10975,2856,
1057,2123,1721,402,
1059,4257,3440,817,
1061,2499,1559,940,
1063,923,776,147,
1065,2229,1703,526,
1067,1887,1090,797,
1069,10567,5741,4826,
1071,6810,5665,1145,
1073,76529,68013,8516,
1075,1425,1135,290,
1077,9424,5949,3475,
1079,3002,2419,583,
1081,15884,8847,7037,
1083,9960,8390,1570,
1085,1388,1280,108,
1087,1591,1250,341,
1089,34751,29945,4806,
1091,2497,2291,206,
1093,3118,2445,673,
1095,12222,10380,1842,
1097,40971,28691,12280,
1099,1774,1066,708,
1101,24329,21866,2463,
1103,14293,11912,2381,
1105,1077,930,147,
1107,2344,1747,597,
1109,3108,1664,1444,
1111,1802,1293,509,
1113,4411,3266,1145,
1117,23431,20372,3059,
1115,9655,8102,1553,
1119,1045,950,95,
1121,8223,5749,2474,
1123,4027,2852,1175,
1125,25775,17199,8576,
1127,7235,5845,1390,
1129,1673,1166,507,
1131,1271,1018,253,
1133,2744,2284,460,
2013,364,,,
2016,695,,,
2020,30172,,,
2050,3881,,,
2068,101,,,
2070,228,,,
2090,7756,,,
2100,28,,,
2110,1374,,,
2122,4439,,,
2130,475,,,
2150,1106,,,
2158,1278,,,
2170,11459,,,
2180,358,,,
2185,1072,,,
2188,617,,,
2195,162,,,
2198,103,,,
2220,344,,,
2230,20,,,
2240,683,,,
2261,640,,,
2275,53,,,
2290,361,,,
4001,11352,,,
4003,11964,,,
4005,17841,,,
4007,6922,,,
4009,5566,,,
4011,573,,,
4012,2460,,,
4013,541555,,,
4015,22798,,,
4017,16289,,,
4019,115744,,,
4021,51815,,,
4023,7932,,,
4025,18873,,,
4027,37146,,,
5001,2101,1398,703,
5003,2013,1539,474,
5005,3178,2207,971,
5007,28992,21795,7197,
5009,3827,2861,966,
5011,1388,1014,374,
5013,411,307,104,
5015,2806,2375,431,
5017,1614,1468,146,
5019,2109,1722,387,
5021,1766,1357,409,
5023,1979,1408,571,
5025,953,597,356,
5027,2349,1368,981,
5029,2225,1752,473,
5031,13446,11636,1810,
5033,7075,5734,1341,
5035,6067,5684,383,
5037,1948,1513,435,
5039,758,666,92,
5041,1361,1101,260,
5043,2001,1569,432,
5045,12601,9614,2987,
5047,1690,1251,439,
5049,1125,808,317,
5051,10145,8540,1605,
5053,1647,1175,472,
5055,6117,4864,1253,
5057,2004,1471,533,
5059,5120,4609,511,
5061,1655,1045,610,
5063,3759,2473,1286,
5065,1681,1283,398,
5067,3223,2437,786,
5069,8885,6736,2149,
5071,2919,2417,502,
5073,546,378,168,
5075,2119,1698,421,
5077,1680,1553,127,
5079,3201,2832,369,
5081,1241,901,340,
5083,2235,1665,570,
5085,7338,4965,2373,
5087,1457,1117,340,
5089,1055,728,327,
5091,4316,2678,1638,
5093,5854,5197,657,
5095,868,681,187,
5097,755,553,202,
5099,825,660,165,
5101,726,595,131,
5103,2311,1937,374,
5105,839,669,170,
5107,1833,1697,136,
5109,1012,773,239,
5111,3166,2758,408,
5113,1990,1671,319,
5115,8056,6452,1604,
5117,895,637,258,
5119,39186,33610,5576,
5121,2118,1615,503,
5125,11934,8836,3098,
5127,938,609,329,
5129,684,391,293,
5131,15219,11776,3443,
5133,2789,1780,1009,
5135,1601,1107,494,
5123,3591,3293,298,
5137,990,730,260,
5139,4017,2957,1060,
5141,1306,832,474,
5143,30962,23397,7565,
5145,7999,5133,2866,
5147,648,449,199,
5149,3434,2974,460,
6001,87654,87654,,
6003,88,88,0,
6005,3651,3651,0,
6007,11962,11962,,
6009,2114,2114,,
6011,2221,1939,282,
6013,68582,68582,,
6015,1367,1367,,
6017,10079,10079,,
6019,101676,101676,,
6021,2899,2382,517,
6023,3939,3939,,
6025,28373,28373,,
6027,1424,1402,22,
6029,109031,109031,,
6031,22971,22971,,
6033,3470,3470,,
6035,5698,5698,,
6037,1236316,1235651,665,
6039,16442,16442,,
6041,13974,13974,,
6043,445,445,0,
6045,4061,4061,,
6047,31743,31743,,
6049,360,360,,
6051,1278,1262,16,
6053,43563,43563,,
6055,9854,9854,,
6057,4716,4716,,
6059,270744,254311,16433,
6061,22550,22550,,
6063,704,679,25,
6065,299064,299064,,
6067,104207,104207,,
6069,6048,6048,,
6071,296596,296596,,
6073,277823,277823,,
6075,36645,36645,,
6077,73009,73009,,
6079,21282,21282,,
6081,41871,41871,,
6083,34185,34185,,
6085,118901,118901,,
6087,16188,16188,,
6089,12071,12071,,
6091,54,54,,
6093,2181,2181,,
6095,32757,32757,,
6097,29975,29975,,
6099,61916,55467,6449,
6101,9413,9413,,
6103,4977,4977,,
6105,328,328,,
6107,49554,49554,,
6109,4123,4123,,
6111,80842,80842,,
6113,13894,13894,,
