CountyId,Deaths,ConfirmedDeaths,ProbableDeaths,isDeleted
1001,108,96,12,
1003,308,232,76,
1005,57,38,19,
1007,64,40,24,
1009,137,113,24,
1011,41,31,10,
1013,69,61,8,
1015,314,252,62,
1017,123,78,45,
1019,45,34,11,
1021,112,85,27,
1023,24,13,11,
1025,61,45,16,
1027,56,50,6,
1029,41,33,8,
1031,119,49,70,
1033,134,113,21,
1035,29,25,4,
1037,28,25,3,
1039,118,79,39,
1041,57,49,8,
1043,193,129,64,
1045,111,87,24,
1047,151,113,38,
1049,186,156,30,
1051,205,166,39,
1053,76,58,18,
1055,353,290,63,
1057,62,46,16,
1059,82,68,14,
1061,77,37,40,
1063,34,26,8,
1065,77,63,14,
1067,44,26,18,
1069,281,171,110,
1071,112,85,27,
1073,1522,1233,289,
1075,35,25,10,
1077,241,192,49,
1079,98,83,15,
1081,171,105,66,
1083,151,126,25,
1085,53,48,5,
1087,50,38,12,
1089,503,386,117,
1091,64,52,12,
1093,101,88,13,
1095,223,168,55,
1097,804,746,58,
1099,40,31,9,
1101,589,499,90,
1103,279,238,41,
1105,26,23,3,
1107,61,44,17,
1109,77,33,44,
1111,41,27,14,
1113,38,29,9,
1117,249,191,58,
1115,243,209,34,
1119,32,28,4,
1121,176,142,34,
1123,152,132,20,
1125,452,310,142,
1127,277,239,38,
1129,39,31,8,
1131,30,28,2,
1133,72,62,10,
2013,3,3,,
2016,0,0,,
2020,171,171,,
2050,21,21,,
2068,0,0,,
2070,2,2,,
2090,38,38,,
2100,0,0,,
2110,3,3,,
2122,19,19,,
2130,1,1,,
2150,5,5,,
2158,4,4,,
2170,46,46,,
2180,0,0,,
2185,4,4,,
2188,2,2,,
2195,0,0,,
2198,1,1,,
2220,0,0,,
2230,0,0,,
2240,4,4,,
2261,2,2,,
2275,0,0,,
2290,4,4,,
4001,429,,,
4003,283,,,
4005,330,,,
4007,228,,,
4009,79,,,
4011,10,,,
4012,80,,,
4013,9922,,,
4015,721,,,
4017,533,,,
4019,2403,,,
4021,876,,,
4023,176,,,
4025,505,,,
4027,834,,,
5001,36,27,9,
5003,34,25,9,
5005,104,71,33,
5007,415,308,107,
5009,80,69,11,
5011,32,17,15,
5013,3,2,1,
5015,45,40,5,
5017,41,39,2,
5019,41,34,7,
5021,50,36,14,
5023,74,51,23,
5025,25,20,5,
5027,56,36,20,
5029,32,26,6,
5031,179,159,20,
5033,119,100,19,
5035,96,84,12,
5037,50,46,4,
5039,15,11,4,
5041,24,19,5,
5043,43,35,8,
5045,161,132,29,
5047,39,33,6,
5049,47,24,23,
5051,259,210,49,
5053,32,29,3,
5055,77,63,14,
5057,20,12,8,
5059,72,64,8,
5061,25,21,4,
5063,123,87,36,
5065,41,30,11,
5067,38,23,15,
5069,166,131,35,
5071,38,31,7,
5073,9,6,3,
5075,43,39,4,
5077,34,33,1,
5079,48,34,14,
5081,42,39,3,
5083,22,15,7,
5085,119,93,26,
5087,23,16,7,
5089,30,24,6,
5091,38,22,16,
5093,107,91,16,
5095,17,15,2,
5097,33,22,11,
5099,24,22,2,
5101,26,22,4,
5103,62,44,18,
5105,10,8,2,
5107,39,37,2,
5109,22,15,7,
5111,77,61,16,
5113,72,57,15,
5115,107,90,17,
5117,21,16,5,
5119,656,565,91,
5121,47,35,12,
5125,167,141,26,
5127,14,14,0,
5129,18,12,6,
5131,278,239,39,
5133,24,20,4,
5135,46,31,15,
5123,42,35,7,
5137,30,24,6,
5139,114,76,38,
5141,23,16,7,
5143,349,248,101,
5145,118,94,24,
5147,13,10,3,
5149,65,50,15,
6001,1545,1545,,
6003,0,0,0,
6005,47,46,1,
6007,199,199,,
6009,53,52,1,
6011,16,14,2,
6013,803,803,,
6015,8,8,,
6017,113,113,,
6019,1682,1682,,
6021,25,25,0,
6023,39,39,,
6025,721,720,1,
6027,38,36,2,
6029,1373,1373,,
6031,246,246,,
6033,43,43,,
6035,24,5,19,
6037,24022,24022,,
6039,242,238,4,
6041,228,228,,
6043,7,7,0,
6045,49,49,,
6047,458,458,,
6049,3,3,,
6051,4,3,1,
6053,382,382,,
6055,81,81,,
6057,75,70,5,
6059,5008,5008,,
6061,290,290,,
6063,6,4,2,
6065,4587,4587,,
6067,1672,1672,,
6069,63,63,,
6071,4707,4707,,
6073,3725,3725,,
6075,543,543,,
6077,1391,1391,,
6079,260,260,,
