State,Cases,ConfirmedCases,ProbableCases,isDeleted
Alabama,530744,410246,120498,
Alaska,68324,0,68324,
Arizona,868382,,,
Arkansas,337415,264080,73335,
California,3756989,3732219,24770,
Colorado,524782,,,
Connecticut,342718,,,
Delaware,105948,,,
District of Columbia,48164,48164,0,
Florida,2266567,0,2266567,
Georgia,1084835,862148,222687,
Hawaii,33540,,,
Idaho,188857,151300,37557,
Illinois,1357051,1225010,132041,
Indiana,732135,728811,3324,
Iowa,367564,303277,64287,
Kansas,312637,,,
Kentucky,451864,,,
Louisiana,461773,391757,70016,
Maine,63750,47202,16548,
Maryland,452882,452691,191,
Massachusetts,696540,652535,44005,
Michigan,961053,863215,97838,
Minnesota,587052,546315,40737,
Mississippi,313166,191579,121587,
Missouri,605885,536210,69675,
Montana,109986,109986,0,
Nebraska,221347,44806,176541,
Nevada,317980,317980,0,
New Hampshire,96501,0,96501,
New Jersey,1007555,880307,127248,
New Mexico,199333,199333,0,
New York,2068200,2054311,13889,
North Carolina,988016,846778,141238,
North Dakota,108469,99931,8538,
Ohio,1082815,,,
Oklahoma,449648,0,449648,
Oregon,190804,0,190804,
Pennsylvania,1176855,,,
Puerto Rico,168503,118857,49646,
Rhode Island,149577,0,149577,
South Carolina,583996,485387,98609,
South Dakota,123233,108132,15101,
Tennessee,838024,689224,148800,
Texas,2913554,2517464,396090,
Utah,400185,0,400185,
Vermont,23445,0,23445,
Virginia,666111,,,
Washington,415873,381336,34537,
West Virginia,156001,122444,33557,
Wisconsin,666042,602790,63252,
Wyoming,58623,49477,9146,
