State,Deaths,ConfirmedDeaths,ProbableDeaths,isDeleted
Alabama,10978,8648,2330,
Alaska,332,332,0,
Arizona,17407,,,
Arkansas,5760,4575,1185,
California,62269,62088,181,
Colorado,6491,,,
Connecticut,8137,,,
Delaware,1636,,,
District of Columbia,1110,1110,0,
Florida,35699,35699,0,
Georgia,19731,17226,2505,
Hawaii,484,,,
Idaho,2063,1797,266,
Illinois,24546,22244,2302,
Indiana,13405,12991,414,
Iowa,5984,,,
Kansas,5058,,,
Kentucky,6686,,,
Louisiana,10433,9491,942,
Maine,795,795,0,
Maryland,8843,8652,191,
Massachusetts,17676,17324,352,
Michigan,19363,18228,1135,
Minnesota,7317,6829,488,
Mississippi,7228,4980,2248,
Missouri,9332,4447,4885,
Montana,1592,1592,0,
Nebraska,2378,462,1916,
Nevada,5498,5498,0,
New Hampshire,1314,,,
New Jersey,25791,23151,2640,
New Mexico,4100,4100,0,
New York,52118,47024,5094,
North Carolina,12803,11311,1492,
North Dakota,1529,,,
Ohio,19428,,,
Oklahoma,6832,6832,0,
Oregon,2542,,,
Pennsylvania,26578,,,
Puerto Rico,2367,0,2367,
Rhode Island,2687,,,
South Carolina,9586,8438,1148,
South Dakota,1980,,,
Tennessee,12158,1960,10198,
Texas,50789,23676,27113,
Utah,2223,2158,65,
Vermont,249,,,
Virginia,10885,,,
Washington,5609,316,5293,
West Virginia,2726,2282,444,
Wisconsin,7652,6904,748,
Wyoming,710,,,
